"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1848653526643147061","Tue Oct 22 09:12:01 +0000 2024","0","Selasa 22 Oktober 2024 Kunjungan Mahasiswa Fakultas Pertanian UGM sebanyak 31 orang untuk belajar alat ukur parameter cuaca/iklim. #kunjungan #BMKG #tamanalatklimatologi #Polbangtan https://t.co/4Bl8KSvjzF","1848653526643147061","https://pbs.twimg.com/media/Gae8ldmXsAAFfR6.jpg","","in","Daerah Istimewa Yogyakarta","0","0","0","https://x.com/staklim_jogja/status/1848653526643147061","1749990551758475265","staklim_jogja"
"1848633025606644000","Tue Oct 22 07:50:33 +0000 2024","0","Sebaran Curah Hujan Harian di Wilayah D.I Yogyakarta tanggal 22 Oktober 2024. #InfoIklimJogja #MariPahamiIklim #MariPeduliIklim #AnalisisCurahHujanHarian Update Informasi Cuaca DIY di Instagram &amp; Facebook Stasiun Meteorologi Yogyakarta @infobmkgyia https://t.co/s95LP567BW","1848633025606644000","https://pbs.twimg.com/media/Gaep8H6WQAAa0aR.jpg","","in","Daerah Istimewa Yogyakarta","0","0","0","https://x.com/staklim_jogja/status/1848633025606644000","1749990551758475265","staklim_jogja"
"1848632572890280187","Tue Oct 22 07:48:45 +0000 2024","2","sblm brgkt gaenak badan balik dr jogja jg lgsg gaenak badan lg ini cuaca jkt lg kenape sih anjr","1848632572890280187","","","in","Jakarta Capital Region","0","1","0","https://x.com/friensdly/status/1848632572890280187","711778075369938944","friensdly"
"1848603786887237900","Tue Oct 22 05:54:22 +0000 2024","0","cuaca jogja lagi enak banget buat nemenin gawe","1848603786887237900","","","in","Summer Dead","0","1","0","https://x.com/deepandcrush/status/1848603786887237900","1107814067354259456","deepandcrush"
"1848597531867156837","Tue Oct 22 05:29:31 +0000 2024","0","cuaca jogja gajelas banget","1848597531867156837","","","in","","0","0","0","https://x.com/salvalorde/status/1848597531867156837","1834195931610447874","salvalorde"
"1848493542072799645","Mon Oct 21 22:36:18 +0000 2024","0","BMKG Prediksi Cuaca di Jogja dan Sekitarnya Cerah Berawan Sepanjang Hari Ini Selasa 22 Oktober 2024 https://t.co/4e4UHnEcee #beritajogja #jogja #jogjaistimewa https://t.co/hF2iuSIEIX","1848493542072799645","https://pbs.twimg.com/media/GacrFMNbEAQtULZ.jpg","","in","Yogyakarta, Indonesia","0","0","0","https://x.com/Harian_Jogja/status/1848493542072799645","118371948","Harian_Jogja"
"1848405250329498006","Mon Oct 21 16:45:28 +0000 2024","1","kan enak kalo cuaca jogja kembali adem banget gini","1848405250329498006","","","in","Yogyakarta, Indonesia","0","0","0","https://x.com/Cowokjogjaaa/status/1848405250329498006","1677992056965439489","Cowokjogjaaa"
"1848336314888077521","Mon Oct 21 12:11:32 +0000 2024","0","Cuaca panas ekstrem bikin warganet di X ramai-ramai mengeluh. BMKG menjelaskan kalau panas ini terjadi karena cuaca cerah tanpa awan yang bikin matahari terik langsung menyinari kita sepanjang hari. Apa sih tips kamu buat lawan cuaca ekstrem ini? https://t.co/ZOFOC9I9ow","1848336314888077521","","","in","","0","0","0","https://x.com/eksposjogjacom/status/1848336314888077521","1783515353349574656","eksposjogjacom"
"1848313163768578276","Mon Oct 21 10:39:32 +0000 2024","0","BMKG Perkirakan Cuaca di DIY Didominasi Hujan Disertai Petir https://t.co/MahdkIBx1A","1848313163768578276","","","in","Yogyakarta, Indonesia","0","0","1","https://x.com/IDNTimesJogja/status/1848313163768578276","1318894199270330369","IDNTimesJogja"
"1848277402608422915","Mon Oct 21 08:17:26 +0000 2024","0","Cuaca yg mendukung Hari ini ready ya No DP cocok lanjut gk cocok bisa cancel Lokasi tugu jogja WA : 081460171012 #pijatjogja #massagejogja #pijatplusplus #pijatpriajogja #pijatpria #gigolojogja #cowokbayaran https://t.co/WCZShQESyT","1848277402608422915","https://pbs.twimg.com/media/GaZmgK1bwAAnvZO.jpg","","in","","0","0","0","https://x.com/pijatjogja18cm/status/1848277402608422915","1299786688261009408","pijatjogja18cm"
"1848273574072873366","Mon Oct 21 08:02:13 +0000 2024","0","perubahan cuaca Jogja yang sangat drastis memang","1848273574072873366","","","in","","0","0","0","https://x.com/alyeaylabs/status/1848273574072873366","1498018563705442304","alyeaylabs"
"1848270178855047537","Mon Oct 21 07:48:44 +0000 2024","2","leh info cuaca magelang ke jogja dong","1848270178855047537","","","in","Kirim disini 👉","0","4","0","https://x.com/magelang_fess/status/1848270178855047537","1216751588032708609","magelang_fess"
"1848257326576488741","Mon Oct 21 07:29:25 +0000 2024","0","@urfavvvbf Keknya cuaca juga sih mass dari jogja tu udah ujan. Naik juga masih rintikkk kesorean pula","1848265318336221680","","urfavvvbf","in","sleman,yogyakarta","0","1","0","https://x.com/oktvvvv2/status/1848265318336221680","1361067395343818754","oktvvvv2"
"1848258384350343471","Mon Oct 21 07:01:52 +0000 2024","0","Sebaran Curah Hujan Harian di Wilayah D.I Yogyakarta tanggal 21 Oktober 2024. #InfoIklimJogja #MariPahamiIklim #MariPeduliIklim #AnalisisCurahHujanHarian Update Informasi Cuaca DIY di Instagram &amp; Facebook Stasiun Meteorologi Yogyakarta @infobmkgyia https://t.co/fuoUbwHTmx","1848258384350343471","https://pbs.twimg.com/media/GaZVNKMWIAAjVXV.jpg","","in","Daerah Istimewa Yogyakarta","0","0","1","https://x.com/staklim_jogja/status/1848258384350343471","1749990551758475265","staklim_jogja"
"1848171024984211746","Mon Oct 21 01:14:44 +0000 2024","0","duh mana cuaca di jogja lagi enak-enaknya buat dipake tidur","1848171024984211746","","","in","","0","0","0","https://x.com/curcumaapluss/status/1848171024984211746","1635179589692723200","curcumaapluss"
"1848128103769596171","Sun Oct 20 22:24:11 +0000 2024","0","BMKG Prediksi Cuaca Wilayah DIY Hari Ini Senin 21 Oktober 2024 Hujan Ringan https://t.co/tgS8brdNG2 #beritajogja #jogja #jogjaistimewa https://t.co/yMeU9jDnmW","1848128103769596171","https://pbs.twimg.com/media/GaXet4-acAAIGaV.jpg","","in","Yogyakarta, Indonesia","0","0","0","https://x.com/Harian_Jogja/status/1848128103769596171","118371948","Harian_Jogja"
"1848015474518594020","Sun Oct 20 14:56:38 +0000 2024","0","Bjiiir berjibaku dengan mbakmbak demi Batagor enak di cuaca Jakal atas yang Sejuk iniiiiiii woooiii... Jogja https://t.co/kyy4wdLhEA","1848015474518594020","https://pbs.twimg.com/ext_tw_video_thumb/1848015446177615872/pu/img/qViDZrHkl7ZP0KYp.jpg","","in","","0","0","0","https://x.com/pupuupapa/status/1848015474518594020","1833767817830895616","pupuupapa"
"1847997084332654800","Sun Oct 20 13:43:33 +0000 2024","0","Cuaca dengan cepatnya berubah tp semoga besok ga ujan dulu yaa mendung aja yaaa jogja tercintaaa ","1847997084332654800","","","in","127 squad • lovelyrunner💛💙","0","0","0","https://x.com/hmhrns/status/1847997084332654800","1010015934533140481","hmhrns"
